year,Daily Mean PM2.5 Concentration
1999,21.41224328593997
2000,19.85794947994056
2001,21.20701754385965
2002,19.290974882928907
2003,17.75342522974102
2004,16.94105339105339
2005,15.58092643051771
2006,14.368770642201836
2007,14.665276211950395
2008,14.92913612565445
2009,14.251611001964635
2010,12.647948372182624
2011,13.688715578663585
2012,12.491835285764997
2013,12.156238498343761
2014,14.14992426537413
2015,12.160499576629974
2016,11.325107142857142
2017,12.114182011331444
2018,12.115383263009846
2019,9.999051887605585
2020,13.143629990856446
2021,12.09387302057126
2022,10.716069927718944
2023,10.041683221961351
2024,11.053687050359713
