year,Daily Max 8-hour Ozone Concentration
1980,0.05376119213696893
1981,0.05325
1982,0.04800180305131762
1983,0.05304217036828788
1984,0.05329123100515823
1985,0.053816157845620584
1986,0.053804695096541184
1987,0.05034460916442049
1988,0.053149964260185846
1989,0.05195576923076923
1990,0.045776985743380856
1991,0.04670701842968947
1992,0.04597491137169348
1993,0.04338730335514409
1994,0.04349837037037037
1995,0.044003003003003006
1996,0.03999148870318787
1997,0.03790540103492885
1998,0.03780185127078758
1999,0.0358643006263048
2000,0.03663938973647712
2001,0.037320202751629256
2002,0.040562022339800115
2003,0.042838959430164136
2004,0.044196267496111975
2005,0.04095196506550218
2005,0.04095196506550218
2006,0.04226261261261261
2007,0.04101051817478731
2008,0.043144787944694736
2009,0.04291542210344286
2010,0.04044688758129452
2011,0.04139736638264911
2012,0.042787319795380564
2013,0.04278063048423789
2014,0.04489330649219929
2015,0.04564576094510077
2016,0.04489829088471849
2017,0.046887464387464384
2018,0.04489644760213144
2019,0.04507113420533954
2020,0.04777505946313286
2021,0.045396496002721554
2022,0.046104651162790694
2023,0.0456676804541768
2024,0.04770115877210815
