year,Daily Max 1-hour NO2 Concentration
1980,86.87322946175638
1981,90.05819239861793
1982,83.28102010789603
1983,78.6391557725626
1984,77.35742705570291
1985,77.97103947595242
1986,78.09640666082385
1987,72.96263813366076
1988,74.9576597382602
1989,74.56428230046201
1990,68.015605875153
1991,69.07824726134585
1992,62.56834869551633
1993,58.58699035169624
1994,62.81579778830964
1995,61.6020278833967
1996,55.484247590808
1997,52.04555970813312
1998,51.90285410388229
1999,55.392208245981834
2000,50.84049681320477
2001,48.71067073170732
2002,46.060009376465075
2003,45.52168893287151
2004,41.23506711409396
2005,38.054026329287055
2005,38.054026329287055
2006,37.946401225114855
2007,37.65317341329335
2008,37.184661454000995
2009,34.74823091247672
2010,32.398049024512254
2011,31.52613754775964
2012,29.832406519654842
2013,29.136465612357487
2014,29.381311419857674
2015,29.198690835850954
2016,28.01038613081166
2017,28.069147338561653
2018,26.902506821282397
2019,25.940572337042926
2020,25.73743559546592
2021,25.543351302785265
2022,25.603288140875797
2023,22.84063109954457
2024,23.236486042692942
