dtcode23,dtcode11,stdtname,dtname,dtusename,stcode11,stcode23,st2code,stname,weighted_GDP
151,150,up_bareilly,Bareilly,bareilly,09,9,UP,UTTAR PRADESH,6.971214107807746
109,115,rj_barmer,Barmer,barmer,08,8,RJ,RAJASTHAN,9.020142589430423
483,441,mp_barwani,Barwani,barwani,23,23,MP,MADHYA PRADESH,2.989776974585563
454,414,cg_bastar,Bastar,bastar,22,22,CG,CHHATTISGARH,1.5140798306537504
152,185,up_basti,Basti,basti,09,9,UP,UTTAR PRADESH,4.260147839666419
602,555,ka_belagavi,Belagavi,belagavi,29,26,KA,KARNATAKA,11.95955604772423
453,718,cg_bametara,Bametara,bametara,22,22,CG,CHHATTISGARH,1.3203494461611527
603,583,ka_bengaluru_rural,Bengaluru Rural,bengaluru_rural,29,26,KA,KARNATAKA,4.362691086887075
601,572,ka_bangalore,Bangalore,bangalore,29,26,KA,KARNATAKA,6.031093561191114
484,447,mp_betul,Betul,betul,23,23,MP,MADHYA PRADESH,3.522747132236013
153,198,up_bhadohi,Bhadohi,bhadohi,09,9,UP,UTTAR PRADESH,2.956828222661288
425,378,od_bhadrak,Bhadrak,bhadrak,21,21,OD,ODISHA,1.9204575626470353
110,105,rj_bharatpur,Bharatpur,bharatpur,08,8,RJ,RAJASTHAN,6.539382422058422
111,122,rj_bhilwara,Bhilwara,bhilwara,08,8,RJ,RAJASTHAN,5.377394661074815
485,420,mp_bhind,Bhind,bhind,23,23,MP,MADHYA PRADESH,4.112106004941258
486,444,mp_bhopal,Bhopal,bhopal,23,23,MP,MADHYA PRADESH,4.2187007680515105
604,558,ka_bidar,Bidar,bidar,29,26,KA,KARNATAKA,3.1783314670042344
455,417,cg_bijapur,Bijapur,bijapur,22,22,CG,CHHATTISGARH,0.473157705765026
154,134,up_bijnor,Bijnor,bijnor,09,9,UP,UTTAR PRADESH,7.898694412951772
112,101,rj_bikaner,Bikaner,bikaner,08,8,RJ,RAJASTHAN,7.620214455731293
456,406,cg_bilaspur,Bilaspur,bilaspur,22,22,CG,CHHATTISGARH,3.9319610098883735
461,791,cg_gaurela-pendra-marwahi,Gaurela-Pendra-Marwahi,gaurela-pendra-marwahi,22,22,CG,CHHATTISGARH,0.4702908982701486
23,030,hp_bilaspur,Bilaspur,bilaspur,02,2,HP,HIMACHAL PRADESH,0.7894749986103267
292,275,mn_bishnupur,Bishnupur,bishnupur,14,14,MN,MANIPUR,0.3576384510160381
396,355,jh_bokaro,Bokaro,bokaro,20,20,JH,JHARKHAND,6.39883529622798
156,142,up_bulandshahr,Bulandshahr,bulandshahr,09,9,UP,UTTAR PRADESH,7.387762759364877
113,121,rj_bundi,Bundi,bundi,08,8,RJ,RAJASTHAN,2.561151490326954
487,467,mp_burhanpur,Burhanpur,burhanpur,23,23,MP,MADHYA PRADESH,1.842622934632707
94,095,dl_central,Central,central,07,7,DL,DELHI,0.33791237005142977
605,578,ka_chamarajanagara,Chamarajanagara,chamarajanagara,29,26,KA,KARNATAKA,1.624285760179046
24,023,hp_chamba,Chamba,chamba,02,2,HP,HIMACHAL PRADESH,0.6784999965587933
62,065,uk_champawat,Champawat,champawat,05,5,UK,UTTARAKHAND,0.5262916689979317
157,196,up_chandauli,Chandauli,chandauli,09,9,UP,UTTAR PRADESH,3.664014722412565
293,280,mn_chandel,Chandel,chandel,14,14,MN,MANIPUR,0.2331856620108
